region,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
TODAS,basica,Insuficiente,37.80%,46.40%,37.70%,12.80%,37.80%,36.90%,46.60%,37.80%,56.70%,47.80%,39.50%,29.00%,13.30%,37.80%,32.80%,42.90%,37.80%,37.20%,46.60%,37.80%,37.20%,45.00%,37.80%,33.30%,75.80%
TODAS,basica,Elemental,38.10%,36.10%,39.70%,36.10%,38.10%,38.20%,36.80%,38.10%,31.70%,36.10%,39.30%,42.30%,36.70%,38.10%,39.20%,37.00%,38.10%,38.20%,36.70%,38.10%,38.30%,35.10%,38.10%,40.20%,20.20%
TODAS,basica,Adecuado,24.10%,17.50%,22.60%,51.00%,24.10%,24.90%,16.60%,24.10%,11.70%,16.10%,21.20%,28.70%,50.00%,24.10%,27.90%,20.20%,24.10%,24.60%,16.80%,24.10%,24.50%,19.90%,24.10%,26.50%,3.90%
TODAS,basica,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ANTOF,media,Insuficiente,55.50%,69.90%,45.50%,17.20%,55.50%,55.50%,64.30%,55.50%,77.80%,70.50%,53.10%,40.00%,17.00%,55.50%,51.80%,59.40%,55.40%,55.50%,53.60%,55.50%,52.20%,69.40%,55.50%,53.30%,87.20%
ANTOF,media,Elemental,29.10%,23.70%,35.60%,30.00%,29.10%,29.10%,35.70%,29.10%,19.40%,23.60%,35.10%,37.10%,30.30%,29.10%,30.40%,27.70%,29.10%,28.90%,32.10%,29.10%,30.50%,23.00%,29.10%,30.30%,11.80%
ANTOF,media,Adecuado,15.40%,6.40%,18.90%,52.80%,15.40%,15.40%,0.00%,15.40%,2.80%,5.90%,11.80%,22.90%,52.70%,15.40%,17.80%,12.80%,15.50%,15.50%,14.30%,15.40%,17.30%,7.60%,15.40%,16.40%,1.00%
ANTOF,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
ARAUC,media,Insuficiente,56.10%,61.80%,54.40%,15.40%,56.10%,55.30%,73.20%,56.10%,71.10%,55.50%,47.60%,38.10%,14.90%,56.10%,53.00%,59.40%,56.10%,51.90%,65.30%,56.10%,56.20%,48.70%,56.10%,52.50%,88.00%
ARAUC,media,Elemental,31.00%,28.20%,32.70%,37.10%,31.00%,31.40%,22.40%,31.00%,24.20%,33.30%,36.50%,38.20%,35.20%,31.00%,32.30%,29.60%,31.00%,32.70%,27.40%,31.00%,30.90%,37.00%,31.00%,33.30%,10.60%
ARAUC,media,Adecuado,12.90%,10.00%,13.00%,47.50%,12.90%,13.30%,4.50%,12.90%,4.70%,11.30%,15.90%,23.80%,49.80%,12.90%,14.70%,11.00%,12.90%,15.50%,7.30%,12.90%,12.90%,14.30%,12.90%,14.20%,1.40%
ARAUC,media,Total,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
