comuna,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
CABILDO,basica,Adecuado,17.4%,15.6%,20.8%,0.0%,17.4%,18.0%,15.2%,17.4%,0.0%,15.2%,20.5%,23.5%,0.0%,17.4%,23.0%,10.6%,17.4%,17.0%,100.0%,17.4%,18.1%,0.0%,17.4%,19.0%,7.1%
CABILDO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CABO DE HORNOS,basica,Insuficiente,25.9%,25.9%,0.0%,0.0%,25.9%,24.0%,50.0%,25.9%,0.0%,0.0%,0.0%,25.9%,0.0%,25.9%,18.8%,36.4%,25.9%,24.0%,50.0%,25.9%,25.9%,0.0%,25.9%,9.1%,100.0%
CABO DE HORNOS,basica,Elemental,37.0%,37.0%,0.0%,0.0%,37.0%,40.0%,0.0%,37.0%,0.0%,0.0%,0.0%,37.0%,0.0%,37.0%,43.8%,27.3%,37.0%,36.0%,50.0%,37.0%,37.0%,0.0%,37.0%,45.5%,0.0%
CABO DE HORNOS,basica,Adecuado,37.0%,37.0%,0.0%,0.0%,37.0%,36.0%,50.0%,37.0%,0.0%,0.0%,0.0%,37.0%,0.0%,37.0%,37.5%,36.4%,37.0%,40.0%,0.0%,37.0%,37.0%,0.0%,37.0%,45.5%,0.0%
CABO DE HORNOS,basica,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
CABRERO,basica,Insuficiente,44.5%,32.6%,53.8%,0.0%,44.5%,47.7%,20.0%,44.5%,0.0%,39.9%,49.3%,0.0%,0.0%,44.5%,39.2%,51.1%,44.5%,45.6%,0.0%,44.5%,43.9%,80.0%,44.5%,39.1%,69.8%
CABRERO,basica,Elemental,34.9%,37.9%,32.5%,0.0%,34.9%,35.3%,31.4%,34.9%,0.0%,35.9%,33.8%,0.0%,0.0%,34.9%,33.7%,36.3%,34.9%,34.4%,57.1%,34.9%,35.5%,0.0%,34.9%,37.1%,24.5%
CABRERO,basica,Adecuado,20.6%,29.5%,13.6%,0.0%,20.6%,16.9%,48.6%,20.6%,0.0%,24.2%,16.9%,0.0%,0.0%,20.6%,27.1%,12.6%,20.6%,20.1%,42.9%,20.6%,20.6%,20.0%,20.6%,23.8%,5.7%
CABRERO,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CALAMA,basica,Insuficiente,38.1%,36.1%,45.3%,20.2%,38.1%,38.2%,19.0%,38.1%,0.0%,41.4%,41.9%,33.7%,20.2%,38.1%,31.0%,45.4%,38.2%,38.6%,36.7%,38.1%,37.6%,40.1%,38.1%,35.5%,70.1%
CALAMA,basica,Elemental,39.4%,39.8%,39.2%,37.5%,39.4%,39.3%,52.4%,39.4%,0.0%,39.8%,37.8%,42.8%,37.5%,39.4%,42.4%,36.2%,39.3%,38.7%,41.9%,39.4%,39.7%,37.9%,39.4%,40.4%,26.4%
