comuna,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
LEBU,media,Elemental,36.2%,36.2%,0.0%,0.0%,36.2%,36.2%,0.0%,36.2%,21.5%,41.3%,0.0%,0.0%,0.0%,36.2%,35.0%,37.4%,36.2%,35.0%,39.4%,36.2%,36.5%,0.0%,36.2%,37.0%,29.2%
LEBU,media,Adecuado,11.4%,11.4%,0.0%,0.0%,11.4%,11.4%,0.0%,11.4%,0.0%,15.3%,0.0%,0.0%,0.0%,11.4%,15.4%,7.6%,11.4%,11.5%,11.3%,11.4%,11.1%,50.0%,11.4%,11.7%,8.3%
LEBU,media,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LICANTÉN,media,Insuficiente,38.8%,24.6%,67.9%,0.0%,38.8%,32.9%,75.0%,38.8%,75.0%,0.0%,32.9%,0.0%,0.0%,38.8%,48.9%,27.5%,38.8%,39.0%,33.3%,38.8%,38.8%,0.0%,38.8%,36.6%,50.0%
LICANTÉN,media,Elemental,37.6%,43.9%,25.0%,0.0%,37.6%,39.7%,25.0%,37.6%,25.0%,0.0%,39.7%,0.0%,0.0%,37.6%,37.8%,37.5%,37.6%,37.8%,33.3%,37.6%,37.6%,0.0%,37.6%,39.4%,28.6%
LICANTÉN,media,Adecuado,23.5%,31.6%,7.1%,0.0%,23.5%,27.4%,0.0%,23.5%,0.0%,0.0%,27.4%,0.0%,0.0%,23.5%,13.3%,35.0%,23.5%,23.2%,33.3%,23.5%,23.5%,0.0%,23.5%,23.9%,21.4%
LICANTÉN,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
LIMACHE,media,Insuficiente,66.1%,81.3%,49.2%,0.0%,66.1%,66.1%,0.0%,66.1%,0.0%,86.9%,51.5%,37.4%,0.0%,66.1%,59.7%,72.1%,66.1%,66.2%,63.6%,66.1%,65.8%,81.8%,66.1%,63.5%,100.0%
LIMACHE,media,Elemental,24.6%,16.1%,34.0%,0.0%,24.6%,24.6%,0.0%,24.6%,0.0%,11.8%,33.1%,42.9%,0.0%,24.6%,29.6%,19.8%,24.6%,24.5%,27.3%,24.6%,24.9%,9.1%,24.6%,26.5%,0.0%
LIMACHE,media,Adecuado,9.3%,2.6%,16.8%,0.0%,9.3%,9.3%,0.0%,9.3%,0.0%,1.2%,15.4%,19.8%,0.0%,9.3%,10.7%,8.0%,9.3%,9.3%,9.1%,9.3%,9.3%,9.1%,9.3%,10.0%,0.0%
LIMACHE,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LINARES,media,Insuficiente,48.2%,58.8%,38.2%,0.0%,48.2%,48.2%,0.0%,48.2%,70.9%,37.4%,42.2%,28.2%,0.0%,48.2%,42.4%,53.3%,48.2%,48.1%,52.0%,48.2%,48.3%,42.9%,48.2%,46.0%,75.0%
LINARES,media,Elemental,31.8%,28.9%,36.0%,13.8%,31.8%,31.8%,0.0%,31.8%,21.6%,41.6%,35.6%,37.3%,13.8%,31.8%,34.0%,30.0%,31.8%,31.8%,36.0%,31.8%,31.8%,35.7%,31.8%,32.5%,24.1%
LINARES,media,Adecuado,20.0%,12.4%,25.8%,86.2%,20.0%,20.0%,0.0%,20.0%,7.4%,21.0%,22.2%,34.4%,86.2%,20.0%,23.7%,16.7%,20.0%,20.1%,12.0%,20.0%,19.9%,21.4%,20.0%,21.5%,0.9%
LINARES,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LITUECHE,media,Insuficiente,46.2%,46.2%,0.0%,0.0%,46.2%,46.2%,0.0%,46.2%,0.0%,46.2%,0.0%,0.0%,0.0%,46.2%,45.2%,47.1%,46.2%,46.2%,50.0%,46.2%,46.6%,40.0%,46.2%,37.5%,100.0%
LITUECHE,media,Elemental,45.2%,45.2%,0.0%,0.0%,45.2%,45.2%,0.0%,45.2%,0.0%,45.2%,0.0%,0.0%,0.0%,45.2%,45.2%,45.1%,45.2%,45.1%,50.0%,45.2%,44.3%,60.0%,45.2%,52.5%,0.0%
LITUECHE,media,Adecuado,8.6%,8.6%,0.0%,0.0%,8.6%,8.6%,0.0%,8.6%,0.0%,8.6%,0.0%,0.0%,0.0%,8.6%,9.5%,7.8%,8.6%,8.8%,0.0%,8.6%,9.1%,0.0%,8.6%,10.0%,0.0%
LITUECHE,media,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LLAILLAY,media,Insuficiente,72.0%,77.0%,67.7%,0.0%,72.0%,72.0%,0.0%,72.0%,0.0%,77.1%,30.8%,56.3%,0.0%,72.0%,74.4%,69.4%,72.0%,71.8%,77.8%,72.0%,71.5%,88.9%,72.0%,68.0%,95.5%
LLAILLAY,media,Elemental,22.7%,19.4%,25.5%,0.0%,22.7%,22.7%,0.0%,22.7%,0.0%,19.0%,53.8%,31.3%,0.0%,22.7%,20.5%,25.0%,22.7%,22.7%,22.2%,22.7%,23.0%,11.1%,22.7%,25.8%,4.5%
LLAILLAY,media,Adecuado,5.3%,3.6%,6.8%,0.0%,5.3%,5.3%,0.0%,5.3%,0.0%,3.9%,15.4%,12.5%,0.0%,5.3%,5.1%,5.6%,5.3%,5.5%,0.0%,5.3%,5.5%,0.0%,5.3%,6.3%,0.0%
LLAILLAY,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LLANQUIHUE,media,Insuficiente,58.4%,66.2%,33.3%,0.0%,58.4%,58.4%,0.0%,58.4%,66.2%,0.0%,33.3%,0.0%,0.0%,58.4%,56.3%,60.4%,58.4%,50.0%,74.3%,58.4%,58.6%,50.0%,58.4%,56.0%,80.0%
LLANQUIHUE,media,Elemental,32.7%,29.9%,41.7%,0.0%,32.7%,32.7%,0.0%,32.7%,29.9%,0.0%,41.7%,0.0%,0.0%,32.7%,31.3%,34.0%,32.7%,36.4%,25.7%,32.7%,32.3%,50.0%,32.7%,34.1%,20.0%
LLANQUIHUE,media,Adecuado,8.9%,3.9%,25.0%,0.0%,8.9%,8.9%,0.0%,8.9%,3.9%,0.0%,25.0%,0.0%,0.0%,8.9%,12.5%,5.7%,8.9%,13.6%,0.0%,8.9%,9.1%,0.0%,8.9%,9.9%,0.0%
LLANQUIHUE,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LO BARNECHEA,media,Insuficiente,13.5%,57.6%,34.3%,5.6%,13.5%,13.5%,0.0%,13.5%,0.0%,51.4%,20.0%,0.0%,5.6%,13.5%,12.2%,14.9%,13.5%,13.0%,53.3%,13.5%,13.1%,18.7%,13.5%,11.8%,62.5%
LO BARNECHEA,media,Elemental,26.0%,33.9%,39.1%,22.2%,26.0%,26.0%,0.0%,26.0%,0.0%,35.0%,42.6%,0.0%,22.2%,26.0%,25.5%,26.5%,26.0%,25.9%,33.3%,26.0%,25.7%,30.7%,26.0%,26.0%,27.5%
LO BARNECHEA,media,Adecuado,60.5%,8.5%,26.6%,72.2%,60.5%,60.5%,0.0%,60.5%,0.0%,13.6%,37.4%,0.0%,72.2%,60.5%,62.2%,58.6%,60.5%,61.1%,13.3%,60.5%,61.2%,50.7%,60.5%,62.2%,10.0%
LO BARNECHEA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LO ESPEJO,media,Insuficiente,58.2%,77.8%,53.8%,0.0%,58.2%,58.2%,0.0%,58.2%,75.9%,65.6%,42.8%,0.0%,0.0%,58.2%,55.0%,61.7%,58.2%,58.3%,54.5%,58.2%,55.8%,79.5%,58.2%,54.9%,85.7%
LO ESPEJO,media,Elemental,33.2%,20.8%,35.9%,0.0%,33.2%,33.2%,0.0%,33.2%,20.4%,29.6%,42.1%,0.0%,0.0%,33.2%,34.4%,31.7%,33.2%,33.1%,36.4%,33.2%,35.1%,15.4%,33.2%,35.7%,11.9%
LO ESPEJO,media,Adecuado,8.7%,1.4%,10.3%,0.0%,8.7%,8.7%,0.0%,8.7%,3.7%,4.8%,15.1%,0.0%,0.0%,8.7%,10.5%,6.6%,8.7%,8.7%,9.1%,8.7%,9.1%,5.1%,8.7%,9.4%,2.4%
LO ESPEJO,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LO PRADO,media,Insuficiente,67.2%,74.5%,49.4%,0.0%,67.2%,67.2%,0.0%,67.2%,0.0%,77.1%,56.2%,42.9%,0.0%,67.2%,59.6%,75.2%,67.1%,67.2%,66.7%,67.2%,65.9%,70.9%,67.2%,64.3%,87.2%
LO PRADO,media,Elemental,23.6%,21.8%,28.1%,0.0%,23.6%,23.6%,0.0%,23.6%,0.0%,21.2%,28.1%,14.3%,0.0%,23.6%,28.8%,18.1%,23.6%,22.8%,30.3%,23.5%,23.3%,24.1%,23.5%,25.1%,12.8%
LO PRADO,media,Adecuado,9.2%,3.7%,22.5%,0.0%,9.2%,9.2%,0.0%,9.2%,0.0%,1.8%,15.7%,42.9%,0.0%,9.2%,11.5%,6.7%,9.3%,10.1%,3.0%,9.3%,10.8%,5.1%,9.3%,10.6%,0.0%
LO PRADO,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOLOL,media,Insuficiente,69.1%,69.1%,0.0%,0.0%,69.1%,69.1%,0.0%,69.1%,69.1%,0.0%,0.0%,0.0%,0.0%,69.1%,60.5%,78.9%,69.1%,69.2%,66.7%,69.1%,69.1%,0.0%,69.1%,68.2%,73.3%
LOLOL,media,Elemental,27.2%,27.2%,0.0%,0.0%,27.2%,27.2%,0.0%,27.2%,27.2%,0.0%,0.0%,0.0%,0.0%,27.2%,32.6%,21.1%,27.2%,26.9%,33.3%,27.2%,27.2%,0.0%,27.2%,28.8%,20.0%
LOLOL,media,Adecuado,3.7%,3.7%,0.0%,0.0%,3.7%,3.7%,0.0%,3.7%,3.7%,0.0%,0.0%,0.0%,0.0%,3.7%,7.0%,0.0%,3.7%,3.8%,0.0%,3.7%,3.7%,0.0%,3.7%,3.0%,6.7%
LOLOL,media,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
LONCOCHE,media,Insuficiente,43.4%,35.4%,62.3%,0.0%,43.4%,43.4%,0.0%,43.4%,54.7%,24.8%,62.3%,0.0%,0.0%,43.4%,34.1%,53.2%,43.4%,42.9%,44.7%,43.4%,43.6%,0.0%,43.4%,38.1%,88.9%
LONCOCHE,media,Elemental,38.0%,42.5%,27.3%,0.0%,38.0%,38.0%,0.0%,38.0%,37.5%,45.3%,27.3%,0.0%,0.0%,38.0%,43.2%,32.5%,38.0%,39.6%,34.2%,38.0%,38.1%,0.0%,38.0%,41.1%,11.1%
LONCOCHE,media,Adecuado,18.6%,22.1%,10.4%,0.0%,18.6%,18.6%,0.0%,18.6%,7.8%,29.9%,10.4%,0.0%,0.0%,18.6%,22.7%,14.3%,18.6%,17.6%,21.1%,18.6%,18.3%,100.0%,18.6%,20.8%,0.0%
LONCOCHE,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LONGAVÍ,media,Insuficiente,70.3%,72.2%,64.3%,0.0%,70.3%,69.3%,76.0%,70.3%,71.3%,68.7%,0.0%,0.0%,0.0%,70.3%,67.4%,73.8%,70.3%,69.6%,85.7%,70.3%,70.1%,100.0%,70.3%,68.1%,100.0%
LONGAVÍ,media,Elemental,23.4%,23.3%,23.8%,0.0%,23.4%,23.3%,24.0%,23.4%,23.1%,23.9%,0.0%,0.0%,0.0%,23.4%,23.2%,23.8%,23.4%,23.8%,14.3%,23.4%,23.6%,0.0%,23.4%,25.2%,0.0%
LONGAVÍ,media,Adecuado,6.3%,4.5%,11.9%,0.0%,6.3%,7.3%,0.0%,6.3%,5.6%,7.5%,0.0%,0.0%,0.0%,6.3%,9.5%,2.5%,6.3%,6.5%,0.0%,6.3%,6.3%,0.0%,6.3%,6.7%,0.0%
LONGAVÍ,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LONQUIMAY,media,Insuficiente,71.7%,71.7%,0.0%,0.0%,71.7%,71.7%,0.0%,71.7%,71.7%,0.0%,0.0%,0.0%,0.0%,71.7%,67.2%,76.4%,71.7%,66.0%,76.2%,71.7%,71.4%,100.0%,71.7%,67.4%,94.4%
LONQUIMAY,media,Elemental,21.2%,21.2%,0.0%,0.0%,21.2%,21.2%,0.0%,21.2%,21.2%,0.0%,0.0%,0.0%,0.0%,21.2%,24.1%,18.2%,21.2%,26.0%,17.5%,21.2%,21.4%,0.0%,21.2%,24.2%,5.6%
LONQUIMAY,media,Adecuado,7.1%,7.1%,0.0%,0.0%,7.1%,7.1%,0.0%,7.1%,7.1%,0.0%,0.0%,0.0%,0.0%,7.1%,8.6%,5.5%,7.1%,8.0%,6.3%,7.1%,7.1%,0.0%,7.1%,8.4%,0.0%
LONQUIMAY,media,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS ÁLAMOS,media,Insuficiente,68.5%,68.8%,68.1%,0.0%,68.5%,76.3%,56.1%,68.5%,72.7%,73.3%,52.5%,0.0%,0.0%,68.5%,65.9%,70.8%,68.5%,68.6%,68.3%,68.5%,68.5%,0.0%,68.5%,64.9%,100.0%
LOS ÁLAMOS,media,Elemental,24.3%,24.8%,23.7%,0.0%,24.3%,21.3%,29.0%,24.3%,22.2%,23.3%,29.5%,0.0%,0.0%,24.3%,25.0%,23.6%,24.3%,24.2%,24.4%,24.3%,24.3%,0.0%,24.3%,27.0%,0.0%
LOS ÁLAMOS,media,Adecuado,7.2%,6.4%,8.1%,0.0%,7.2%,2.4%,15.0%,7.2%,5.1%,3.4%,18.0%,0.0%,0.0%,7.2%,9.1%,5.6%,7.2%,7.2%,7.3%,7.2%,7.2%,0.0%,7.2%,8.1%,0.0%
LOS ÁLAMOS,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
LOS ANDES,media,Insuficiente,56.8%,73.4%,56.0%,20.2%,56.8%,56.8%,0.0%,56.8%,79.2%,68.0%,62.2%,44.9%,20.2%,56.8%,50.8%,62.2%,56.8%,56.4%,83.3%,56.8%,56.5%,61.7%,56.8%,54.0%,88.0%
LOS ANDES,media,Elemental,29.6%,23.2%,32.1%,34.5%,29.6%,29.6%,0.0%,29.6%,15.1%,29.9%,28.5%,33.8%,34.5%,29.6%,32.9%,26.7%,29.6%,29.9%,8.3%,29.6%,29.6%,29.8%,29.6%,31.2%,12.0%
LOS ANDES,media,Adecuado,13.6%,3.5%,11.9%,45.4%,13.6%,13.6%,0.0%,13.6%,5.7%,2.0%,9.3%,21.3%,45.4%,13.6%,16.3%,11.1%,13.6%,13.6%,8.3%,13.6%,13.8%,8.5%,13.6%,14.8%,0.0%
LOS ANDES,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS ÁNGELES,media,Insuficiente,50.1%,59.5%,48.4%,11.8%,50.1%,47.5%,71.3%,50.1%,67.6%,50.8%,60.5%,26.9%,11.8%,50.1%,48.5%,51.7%,50.1%,49.5%,67.9%,50.1%,50.4%,40.0%,50.1%,47.1%,78.3%
LOS ÁNGELES,media,Elemental,32.2%,30.4%,33.4%,32.4%,32.2%,33.2%,24.5%,32.2%,26.8%,36.0%,32.5%,37.0%,32.4%,32.2%,33.1%,31.4%,32.2%,32.4%,27.4%,32.2%,32.0%,41.5%,32.2%,33.7%,18.6%
LOS ÁNGELES,media,Adecuado,17.6%,10.0%,18.2%,55.9%,17.6%,19.3%,4.2%,17.6%,5.6%,13.3%,6.9%,36.0%,55.9%,17.6%,18.4%,16.9%,17.6%,18.1%,4.8%,17.6%,17.6%,18.5%,17.6%,19.2%,3.1%
LOS ÁNGELES,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS LAGOS,media,Insuficiente,75.7%,75.7%,0.0%,0.0%,75.7%,75.7%,0.0%,75.7%,0.0%,75.7%,0.0%,0.0%,0.0%,75.7%,71.8%,80.0%,75.7%,75.2%,78.9%,75.7%,75.7%,0.0%,75.7%,73.9%,92.9%
LOS LAGOS,media,Elemental,21.6%,21.6%,0.0%,0.0%,21.6%,21.6%,0.0%,21.6%,0.0%,21.6%,0.0%,0.0%,0.0%,21.6%,25.6%,17.1%,21.6%,21.7%,21.1%,21.6%,21.6%,0.0%,21.6%,23.1%,7.1%
LOS LAGOS,media,Adecuado,2.7%,2.7%,0.0%,0.0%,2.7%,2.7%,0.0%,2.7%,0.0%,2.7%,0.0%,0.0%,0.0%,2.7%,2.6%,2.9%,2.7%,3.1%,0.0%,2.7%,2.7%,0.0%,2.7%,3.0%,0.0%
LOS LAGOS,media,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
LOS MUERMOS,media,Insuficiente,59.4%,74.5%,45.4%,0.0%,59.4%,57.5%,64.5%,59.4%,87.5%,64.5%,45.4%,0.0%,0.0%,59.4%,64.7%,53.6%,59.4%,57.4%,71.9%,59.4%,59.5%,50.0%,59.4%,55.9%,88.0%
LOS MUERMOS,media,Elemental,29.3%,24.5%,33.6%,0.0%,29.3%,27.5%,33.9%,29.3%,12.5%,33.9%,33.6%,0.0%,0.0%,29.3%,24.4%,34.5%,29.3%,30.5%,21.9%,29.3%,29.1%,50.0%,29.3%,31.4%,12.0%
LOS MUERMOS,media,Adecuado,11.4%,0.9%,21.0%,0.0%,11.4%,15.0%,1.6%,11.4%,0.0%,1.6%,21.0%,0.0%,0.0%,11.4%,10.9%,11.8%,11.4%,12.2%,6.3%,11.4%,11.5%,0.0%,11.4%,12.7%,0.0%
LOS MUERMOS,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS SAUCES,media,Insuficiente,43.2%,43.2%,0.0%,0.0%,43.2%,43.2%,0.0%,43.2%,43.2%,0.0%,0.0%,0.0%,0.0%,43.2%,47.1%,40.7%,43.2%,36.0%,52.6%,43.2%,43.2%,0.0%,43.2%,40.5%,57.1%
LOS SAUCES,media,Elemental,40.9%,40.9%,0.0%,0.0%,40.9%,40.9%,0.0%,40.9%,40.9%,0.0%,0.0%,0.0%,0.0%,40.9%,35.3%,44.4%,40.9%,48.0%,31.6%,40.9%,40.9%,0.0%,40.9%,43.2%,28.6%
LOS SAUCES,media,Adecuado,15.9%,15.9%,0.0%,0.0%,15.9%,15.9%,0.0%,15.9%,15.9%,0.0%,0.0%,0.0%,0.0%,15.9%,17.6%,14.8%,15.9%,16.0%,15.8%,15.9%,15.9%,0.0%,15.9%,16.2%,14.3%
LOS SAUCES,media,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
LOS VILOS,media,Insuficiente,61.5%,77.7%,44.3%,0.0%,61.5%,61.5%,0.0%,61.5%,0.0%,77.7%,44.3%,0.0%,0.0%,61.5%,60.7%,62.4%,61.5%,60.9%,100.0%,61.5%,59.2%,100.0%,61.5%,55.0%,95.1%
LOS VILOS,media,Elemental,30.6%,18.5%,43.4%,0.0%,30.6%,30.6%,0.0%,30.6%,0.0%,18.5%,43.4%,0.0%,0.0%,30.6%,30.4%,30.8%,30.6%,31.0%,0.0%,30.6%,32.4%,0.0%,30.6%,35.5%,4.9%
LOS VILOS,media,Adecuado,7.9%,3.8%,12.3%,0.0%,7.9%,7.9%,0.0%,7.9%,0.0%,3.8%,12.3%,0.0%,0.0%,7.9%,8.9%,6.8%,7.9%,8.1%,0.0%,7.9%,8.4%,0.0%,7.9%,9.5%,0.0%
LOS VILOS,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOTA,media,Insuficiente,67.3%,84.0%,49.2%,0.0%,67.3%,67.3%,0.0%,67.3%,84.2%,79.6%,49.1%,0.0%,0.0%,67.3%,65.9%,68.4%,67.3%,67.1%,72.2%,67.3%,66.8%,100.0%,67.3%,63.0%,91.8%
LOTA,media,Elemental,25.5%,14.8%,37.0%,0.0%,25.5%,25.5%,0.0%,25.5%,14.8%,18.5%,36.6%,0.0%,0.0%,25.5%,24.6%,26.2%,25.5%,25.4%,27.8%,25.5%,25.8%,0.0%,25.5%,28.4%,8.2%
LOTA,media,Adecuado,7.3%,1.2%,13.9%,0.0%,7.3%,7.3%,0.0%,7.3%,1.0%,1.9%,14.2%,0.0%,0.0%,7.3%,9.5%,5.3%,7.3%,7.5%,0.0%,7.3%,7.4%,0.0%,7.3%,8.5%,0.0%
LOTA,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LUMACO,media,Insuficiente,77.3%,77.3%,0.0%,0.0%,77.3%,77.3%,0.0%,77.3%,77.3%,0.0%,0.0%,0.0%,0.0%,77.3%,73.0%,82.8%,77.3%,68.8%,85.3%,77.3%,77.3%,0.0%,77.3%,72.2%,100.0%
LUMACO,media,Elemental,15.2%,15.2%,0.0%,0.0%,15.2%,15.2%,0.0%,15.2%,15.2%,0.0%,0.0%,0.0%,0.0%,15.2%,18.9%,10.3%,15.2%,15.6%,14.7%,15.2%,15.2%,0.0%,15.2%,18.5%,0.0%
LUMACO,media,Adecuado,7.6%,7.6%,0.0%,0.0%,7.6%,7.6%,0.0%,7.6%,7.6%,0.0%,0.0%,0.0%,0.0%,7.6%,8.1%,6.9%,7.6%,15.6%,0.0%,7.6%,7.6%,0.0%,7.6%,9.3%,0.0%
LUMACO,media,Total,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
MACHALÍ,media,Insuficiente,31.9%,74.7%,33.1%,16.1%,31.9%,30.5%,50.0%,31.9%,79.3%,73.2%,52.8%,18.5%,16.1%,31.9%,29.8%,33.9%,31.9%,31.6%,66.7%,31.9%,31.7%,36.8%,31.9%,29.4%,81.3%
MACHALÍ,media,Elemental,30.4%,24.1%,35.8%,24.8%,30.4%,29.3%,43.8%,30.4%,20.7%,22.0%,35.2%,38.4%,24.8%,30.4%,28.6%,32.1%,30.4%,30.5%,16.7%,30.4%,30.2%,36.8%,30.4%,31.0%,18.8%
MACHALÍ,media,Adecuado,37.7%,1.3%,31.1%,59.1%,37.7%,40.2%,6.3%,37.7%,0.0%,4.9%,12.0%,43.1%,59.1%,37.7%,41.6%,33.9%,37.7%,37.9%,16.7%,37.7%,38.1%,26.3%,37.7%,39.7%,0.0%
MACHALÍ,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MACUL,media,Insuficiente,41.5%,57.4%,44.3%,9.0%,41.5%,41.5%,0.0%,41.5%,0.0%,73.2%,55.9%,30.3%,9.0%,41.5%,39.9%,43.3%,41.4%,41.4%,40.0%,41.4%,38.9%,56.1%,41.4%,38.9%,80.0%
MACUL,media,Elemental,36.6%,36.2%,36.1%,39.3%,36.6%,36.6%,0.0%,36.6%,0.0%,22.0%,33.1%,42.2%,39.3%,36.6%,34.6%,39.0%,36.6%,35.9%,60.0%,36.6%,37.5%,31.6%,36.6%,37.7%,20.0%
MACUL,media,Adecuado,22.0%,6.4%,19.6%,51.7%,22.0%,22.0%,0.0%,22.0%,0.0%,4.9%,11.0%,27.5%,51.7%,22.0%,25.5%,17.7%,22.0%,22.7%,0.0%,22.0%,23.7%,12.2%,22.0%,23.4%,0.0%
