slep,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
VALPARAÍSO,basica,Elemental,37.3%,32.7%,39.0%,37.7%,37.3%,37.4%,22.2%,37.3%,25.1%,32.0%,39.4%,44.5%,38.1%,37.3%,38.4%,36.3%,37.4%,37.3%,38.2%,37.3%,37.3%,37.5%,37.3%,39.5%,15.5%
VALPARAÍSO,basica,Adecuado,17.5%,9.2%,15.5%,47.2%,17.5%,17.5%,0.0%,17.5%,8.8%,9.5%,12.7%,23.9%,48.1%,17.5%,20.6%,14.3%,17.4%,17.5%,11.8%,17.5%,17.6%,14.0%,17.5%,19.1%,1.5%
VALPARAÍSO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
HANGA ROA,basica,Insuficiente,40.4%,37.0%,44.0%,0.0%,40.4%,40.4%,0.0%,40.4%,0.0%,0.0%,37.0%,44.0%,0.0%,40.4%,34.9%,44.3%,40.4%,44.1%,38.6%,40.4%,40.4%,0.0%,40.4%,36.2%,80.0%
HANGA ROA,basica,Elemental,40.4%,38.9%,42.0%,0.0%,40.4%,40.4%,0.0%,40.4%,0.0%,0.0%,38.9%,42.0%,0.0%,40.4%,44.2%,37.7%,40.4%,26.5%,47.1%,40.4%,40.4%,0.0%,40.4%,42.6%,20.0%
HANGA ROA,basica,Adecuado,19.2%,24.1%,14.0%,0.0%,19.2%,19.2%,0.0%,19.2%,0.0%,0.0%,24.1%,14.0%,0.0%,19.2%,20.9%,18.0%,19.2%,29.4%,14.3%,19.2%,19.2%,0.0%,19.2%,21.3%,0.0%
HANGA ROA,basica,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%
COSTA CENTRAL,basica,Insuficiente,37.8%,53.1%,39.6%,14.7%,37.8%,37.5%,52.6%,37.8%,60.7%,55.7%,44.2%,28.2%,14.5%,37.8%,34.2%,41.3%,37.8%,37.7%,43.7%,37.8%,37.5%,41.8%,37.8%,34.0%,79.7%
COSTA CENTRAL,basica,Elemental,37.6%,33.1%,39.4%,38.3%,37.6%,37.5%,38.2%,37.6%,32.1%,32.4%,38.4%,42.5%,38.2%,37.6%,38.4%,36.7%,37.6%,37.7%,32.2%,37.6%,37.6%,36.6%,37.6%,39.5%,16.1%
COSTA CENTRAL,basica,Adecuado,24.7%,13.8%,21.0%,47.0%,24.7%,25.0%,9.2%,24.7%,7.1%,12.0%,17.5%,29.3%,47.4%,24.7%,27.4%,21.9%,24.6%,24.6%,24.1%,24.7%,24.9%,21.6%,24.7%,26.5%,4.2%
COSTA CENTRAL,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
PETORCA,basica,Insuficiente,42.3%,50.9%,31.8%,22.2%,42.3%,39.4%,49.4%,42.3%,63.0%,50.6%,42.2%,23.1%,22.2%,42.3%,36.8%,47.4%,42.3%,42.7%,20.0%,42.3%,41.7%,61.3%,42.3%,37.8%,67.9%
PETORCA,basica,Elemental,38.9%,32.6%,47.2%,38.9%,38.9%,40.0%,36.0%,38.9%,30.4%,35.2%,37.4%,51.4%,38.9%,38.9%,40.6%,37.3%,38.9%,39.0%,33.3%,38.9%,39.3%,29.0%,38.9%,41.0%,27.1%
PETORCA,basica,Adecuado,18.8%,16.6%,21.0%,38.9%,18.8%,20.5%,14.6%,18.8%,6.5%,14.2%,20.4%,25.4%,38.9%,18.8%,22.6%,15.3%,18.8%,18.3%,46.7%,18.8%,19.1%,9.7%,18.8%,21.2%,5.0%
PETORCA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS ANDES,basica,Insuficiente,39.1%,47.1%,41.2%,11.7%,39.1%,38.8%,47.9%,39.1%,45.0%,51.1%,42.9%,36.3%,11.7%,39.1%,34.4%,44.2%,39.2%,39.1%,47.8%,39.2%,38.6%,50.0%,39.2%,34.9%,72.4%
LOS ANDES,basica,Elemental,37.3%,37.0%,37.9%,35.6%,37.3%,37.1%,41.7%,37.3%,50.0%,35.9%,37.0%,39.9%,35.6%,37.3%,38.6%,35.8%,37.2%,37.5%,17.4%,37.2%,37.2%,37.5%,37.2%,39.1%,22.8%
LOS ANDES,basica,Adecuado,23.6%,15.9%,20.9%,52.8%,23.6%,24.1%,10.4%,23.6%,5.0%,13.0%,20.1%,23.8%,52.8%,23.6%,27.0%,20.0%,23.6%,23.4%,34.8%,23.6%,24.2%,12.5%,23.6%,26.0%,4.8%
LOS ANDES,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
QUILLOTA,basica,Insuficiente,40.5%,49.8%,41.8%,16.7%,40.5%,38.7%,60.3%,40.5%,60.0%,50.2%,42.6%,40.5%,16.7%,40.5%,37.3%,43.6%,40.5%,40.4%,44.0%,40.5%,39.8%,48.8%,40.5%,36.0%,81.7%
QUILLOTA,basica,Elemental,39.1%,36.0%,40.8%,39.5%,39.1%,39.8%,30.1%,39.1%,40.0%,36.0%,39.9%,41.9%,39.5%,39.1%,39.7%,38.4%,39.0%,39.0%,40.0%,39.1%,39.2%,36.6%,39.1%,41.5%,16.5%
QUILLOTA,basica,Adecuado,20.5%,14.2%,17.4%,43.7%,20.5%,21.4%,9.6%,20.5%,0.0%,13.7%,17.5%,17.6%,43.7%,20.5%,23.0%,18.0%,20.5%,20.6%,16.0%,20.5%,20.9%,14.6%,20.5%,22.5%,1.8%
QUILLOTA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MARGA MARGA,basica,Insuficiente,40.7%,50.8%,39.0%,26.0%,40.7%,40.6%,52.5%,40.7%,75.0%,54.4%,42.4%,31.8%,26.0%,40.7%,35.3%,46.2%,40.7%,40.8%,37.3%,40.7%,40.2%,53.2%,40.7%,36.6%,79.4%
MARGA MARGA,basica,Elemental,39.4%,35.9%,40.8%,37.7%,39.4%,39.5%,32.5%,39.4%,17.9%,34.9%,38.5%,44.5%,37.7%,39.4%,41.3%,37.6%,39.4%,39.3%,49.2%,39.4%,39.8%,30.4%,39.4%,41.8%,17.4%
MARGA MARGA,basica,Adecuado,19.8%,13.3%,20.2%,36.3%,19.8%,19.9%,15.0%,19.8%,7.1%,10.6%,19.1%,23.7%,36.3%,19.8%,23.5%,16.2%,19.9%,20.0%,13.6%,19.9%,20.0%,16.5%,19.9%,21.6%,3.2%
MARGA MARGA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
DEL LITORAL,basica,Insuficiente,46.1%,51.9%,42.1%,38.9%,46.1%,46.7%,37.5%,46.1%,64.3%,54.2%,44.8%,28.5%,38.9%,46.1%,42.3%,49.7%,46.0%,46.0%,48.4%,46.0%,45.6%,53.8%,46.0%,41.7%,83.7%
DEL LITORAL,basica,Elemental,38.9%,36.1%,40.8%,44.4%,38.9%,38.5%,45.6%,38.9%,31.3%,32.9%,39.9%,50.1%,44.4%,38.9%,39.3%,38.6%,39.0%,38.8%,46.9%,39.0%,39.2%,34.1%,39.0%,41.7%,15.1%
DEL LITORAL,basica,Adecuado,15.0%,12.0%,17.1%,16.7%,15.0%,14.9%,16.9%,15.0%,4.3%,12.9%,15.4%,21.3%,16.7%,15.0%,18.4%,11.7%,15.0%,15.3%,4.7%,15.0%,15.2%,12.1%,15.0%,16.6%,1.2%
DEL LITORAL,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ACONCAGUA,basica,Insuficiente,45.0%,52.5%,42.1%,18.7%,45.0%,44.4%,48.7%,45.0%,61.8%,55.5%,39.8%,37.5%,18.7%,45.0%,38.1%,51.7%,44.9%,44.8%,51.6%,44.9%,44.2%,63.5%,44.9%,39.0%,82.1%
ACONCAGUA,basica,Elemental,37.3%,33.1%,41.4%,37.3%,37.3%,37.3%,37.5%,37.3%,29.8%,32.4%,42.3%,38.8%,37.3%,37.3%,42.4%,32.3%,37.4%,37.4%,35.5%,37.4%,37.6%,31.1%,37.4%,41.1%,14.1%
ACONCAGUA,basica,Adecuado,17.7%,14.4%,16.6%,44.0%,17.7%,18.4%,13.9%,17.7%,8.4%,12.1%,17.9%,23.7%,44.0%,17.7%,19.5%,16.0%,17.7%,17.8%,12.9%,17.7%,18.2%,5.4%,17.7%,19.9%,3.8%
ACONCAGUA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTIAGO CENTRO,basica,Insuficiente,35.4%,50.1%,32.0%,14.8%,35.4%,35.4%,0.0%,35.4%,0.0%,43.6%,45.7%,34.2%,14.8%,35.4%,31.1%,39.9%,35.3%,35.4%,29.7%,35.4%,31.4%,43.0%,35.4%,31.7%,76.0%
SANTIAGO CENTRO,basica,Elemental,37.3%,34.0%,40.3%,34.5%,37.3%,37.3%,0.0%,37.3%,0.0%,32.5%,36.2%,39.4%,34.5%,37.3%,37.6%,37.1%,37.3%,37.3%,37.8%,37.4%,39.7%,33.0%,37.4%,38.9%,20.2%
SANTIAGO CENTRO,basica,Adecuado,27.2%,15.9%,27.7%,50.7%,27.2%,27.2%,0.0%,27.2%,0.0%,23.9%,18.0%,26.5%,50.7%,27.2%,31.3%,23.1%,27.3%,27.3%,32.4%,27.3%,29.0%,24.0%,27.3%,29.4%,3.8%
SANTIAGO CENTRO,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAIPO SUR,basica,Insuficiente,40.5%,54.5%,37.2%,10.5%,40.5%,39.0%,48.4%,40.5%,58.0%,55.8%,44.3%,11.9%,9.6%,40.5%,35.4%,45.9%,40.6%,40.3%,50.7%,40.5%,39.6%,55.6%,40.5%,36.5%,83.3%
MAIPO SUR,basica,Elemental,35.7%,34.1%,37.6%,34.0%,35.7%,35.2%,37.8%,35.7%,24.0%,32.4%,38.2%,38.9%,33.4%,35.7%,37.3%,34.0%,35.7%,35.8%,32.8%,35.6%,36.2%,27.5%,35.6%,37.7%,14.2%
MAIPO SUR,basica,Adecuado,23.8%,11.4%,25.2%,55.4%,23.8%,25.8%,13.9%,23.8%,18.0%,11.9%,17.5%,49.2%,57.0%,23.8%,27.4%,20.1%,23.7%,23.9%,16.4%,23.8%,24.2%,16.9%,23.8%,25.8%,2.5%
MAIPO SUR,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTA CORINA,basica,Insuficiente,38.3%,53.5%,35.2%,13.6%,38.3%,38.3%,0.0%,38.3%,70.1%,54.7%,43.9%,27.8%,16.0%,38.3%,32.7%,44.3%,38.3%,38.0%,47.0%,38.3%,36.7%,50.2%,38.3%,34.8%,82.1%
SANTA CORINA,basica,Elemental,36.9%,31.9%,38.7%,34.3%,36.9%,36.9%,0.0%,36.9%,23.9%,33.7%,37.7%,38.1%,36.8%,36.9%,38.2%,35.6%,36.9%,36.9%,36.0%,36.9%,37.2%,34.9%,36.9%,38.6%,14.8%
SANTA CORINA,basica,Adecuado,24.8%,14.6%,26.1%,52.2%,24.8%,24.8%,0.0%,24.8%,6.0%,11.6%,18.4%,34.1%,47.2%,24.8%,29.1%,20.1%,24.8%,25.1%,17.0%,24.8%,26.2%,15.0%,24.8%,26.6%,3.1%
SANTA CORINA,basica,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHACABUCO,basica,Insuficiente,31.0%,41.1%,38.7%,8.6%,31.0%,30.0%,50.0%,31.0%,48.9%,41.9%,37.5%,28.0%,8.6%,31.0%,27.0%,35.1%,30.9%,30.6%,41.8%,31.0%,30.3%,37.9%,31.0%,29.1%,70.6%
CHACABUCO,basica,Elemental,35.9%,32.9%,37.3%,35.4%,35.9%,35.8%,37.4%,35.9%,32.4%,35.7%,35.0%,41.4%,35.4%,35.9%,35.7%,36.0%,35.9%,36.1%,32.0%,35.9%,36.0%,35.1%,35.9%,36.6%,21.1%
