slep,nivel,estandar,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto,gen_tot,gen_hom,gen_muj,etnia_tot,etnia_no,etnia_si,nac_tot,nac_cl,nac_ext,int_tot,int_no,int_si
CHINCHORRO,media,Adecuado,20.7%,13.4%,23.4%,39.7%,20.7%,21.2%,4.7%,20.7%,4.4%,4.8%,26.2%,28.6%,39.7%,20.7%,22.9%,18.3%,20.7%,20.7%,20.7%,20.7%,21.1%,17.3%,20.7%,21.8%,3.2%
CHINCHORRO,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
IQUIQUE,media,Insuficiente,53.4%,67.6%,51.2%,18.7%,53.4%,53.4%,53.7%,53.4%,68.5%,61.7%,53.4%,41.5%,18.7%,53.4%,51.0%,56.0%,53.4%,53.5%,53.1%,53.4%,50.0%,67.8%,53.4%,51.7%,81.3%
IQUIQUE,media,Elemental,31.6%,25.5%,33.8%,30.4%,31.6%,31.6%,32.1%,31.6%,28.3%,28.4%,32.6%,37.7%,30.4%,31.6%,32.7%,30.4%,31.6%,31.8%,30.5%,31.6%,33.3%,24.4%,31.6%,32.5%,17.4%
IQUIQUE,media,Adecuado,15.0%,6.9%,15.0%,50.9%,15.0%,15.0%,14.3%,15.0%,3.2%,9.9%,14.1%,20.9%,50.9%,15.0%,16.2%,13.6%,15.0%,14.8%,16.4%,15.0%,16.7%,7.7%,15.0%,15.9%,1.3%
IQUIQUE,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
TAMARUGAL,media,Insuficiente,57.3%,57.3%,0.0%,0.0%,57.3%,0.0%,57.3%,57.3%,56.0%,74.1%,0.0%,0.0%,0.0%,57.3%,52.2%,63.9%,57.0%,60.2%,54.2%,57.1%,55.6%,62.5%,57.1%,53.1%,85.1%
TAMARUGAL,media,Elemental,31.2%,31.2%,0.0%,0.0%,31.2%,0.0%,31.2%,31.2%,31.9%,22.2%,0.0%,0.0%,0.0%,31.2%,32.5%,29.5%,31.5%,29.8%,32.8%,31.4%,31.4%,31.3%,31.4%,34.4%,10.6%
TAMARUGAL,media,Adecuado,11.5%,11.5%,0.0%,0.0%,11.5%,0.0%,11.5%,11.5%,12.1%,3.7%,0.0%,0.0%,0.0%,11.5%,15.3%,6.6%,11.6%,9.9%,12.9%,11.5%,13.0%,6.3%,11.5%,12.6%,4.3%
TAMARUGAL,media,Total,100.0%,100.0%,0.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ANTOFAGASTA,media,Insuficiente,57.9%,78.7%,42.2%,17.7%,57.9%,57.9%,0.0%,57.9%,79.6%,76.8%,57.3%,38.9%,17.3%,57.9%,54.3%,61.7%,57.8%,57.7%,68.6%,57.9%,53.8%,76.5%,57.9%,55.9%,88.7%
ANTOFAGASTA,media,Elemental,26.9%,18.5%,36.4%,29.7%,26.9%,26.9%,0.0%,26.9%,18.5%,19.4%,33.2%,37.0%,30.1%,26.9%,28.1%,25.7%,26.9%,27.0%,21.6%,26.9%,28.7%,18.6%,26.9%,28.0%,10.6%
ANTOFAGASTA,media,Adecuado,15.2%,2.8%,21.4%,52.5%,15.2%,15.2%,0.0%,15.2%,1.9%,3.8%,9.5%,24.0%,52.5%,15.2%,17.6%,12.6%,15.3%,15.3%,9.8%,15.2%,17.5%,4.9%,15.2%,16.2%,0.6%
ANTOFAGASTA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LICANCABUR,media,Insuficiente,50.8%,53.9%,52.0%,15.7%,50.8%,50.7%,64.3%,50.8%,73.8%,59.5%,44.9%,41.8%,15.7%,50.8%,46.9%,55.0%,50.8%,50.7%,51.5%,50.7%,48.9%,57.6%,50.7%,48.1%,84.5%
LICANCABUR,media,Elemental,33.4%,33.1%,34.2%,30.8%,33.4%,33.4%,35.7%,33.4%,21.3%,31.1%,38.7%,37.4%,30.8%,33.4%,34.8%,31.9%,33.4%,33.3%,33.6%,33.4%,34.2%,30.4%,33.4%,34.9%,13.8%
LICANCABUR,media,Adecuado,15.9%,13.0%,13.8%,53.5%,15.9%,15.9%,0.0%,15.9%,4.9%,9.5%,16.4%,20.8%,53.5%,15.9%,18.3%,13.2%,15.8%,16.0%,14.9%,15.9%,16.9%,12.0%,15.9%,17.0%,1.7%
LICANCABUR,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ATACAMA,media,Insuficiente,56.1%,68.1%,61.0%,12.9%,56.1%,56.1%,0.0%,56.1%,0.0%,70.4%,67.9%,41.2%,12.9%,56.1%,52.7%,59.9%,56.0%,55.4%,66.7%,56.1%,55.8%,62.7%,56.1%,54.9%,86.4%
ATACAMA,media,Elemental,28.4%,25.3%,28.4%,30.0%,28.4%,28.4%,0.0%,28.4%,0.0%,22.0%,26.3%,39.1%,30.0%,28.4%,30.4%,26.2%,28.4%,28.7%,23.5%,28.4%,28.6%,23.7%,28.4%,29.0%,11.9%
ATACAMA,media,Adecuado,15.5%,6.6%,10.6%,57.1%,15.5%,15.5%,0.0%,15.5%,0.0%,7.6%,5.8%,19.7%,57.1%,15.5%,16.9%,14.0%,15.5%,15.9%,9.9%,15.5%,15.6%,13.6%,15.5%,16.1%,1.7%
ATACAMA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
HUASCO,media,Insuficiente,54.2%,58.9%,47.4%,8.1%,54.2%,55.1%,28.1%,54.2%,75.0%,58.4%,15.8%,47.4%,8.1%,54.2%,51.9%,56.9%,54.2%,54.3%,53.3%,54.2%,53.9%,60.7%,54.2%,51.0%,92.4%
HUASCO,media,Elemental,30.1%,28.3%,34.2%,40.5%,30.1%,29.2%,53.1%,30.1%,21.2%,31.5%,32.9%,34.2%,40.5%,30.1%,30.5%,29.6%,30.0%,29.5%,36.7%,30.1%,30.2%,28.6%,30.1%,31.9%,7.6%
HUASCO,media,Adecuado,15.7%,12.9%,18.4%,51.4%,15.7%,15.6%,18.8%,15.7%,3.8%,10.1%,51.3%,18.4%,51.4%,15.7%,17.6%,13.5%,15.8%,16.2%,10.0%,15.7%,15.9%,10.7%,15.7%,17.0%,0.0%
HUASCO,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ELQUI,media,Insuficiente,47.6%,68.7%,48.1%,14.6%,47.6%,47.1%,81.1%,47.6%,78.2%,67.2%,50.1%,35.7%,14.6%,47.6%,43.6%,51.4%,48.0%,48.0%,50.0%,47.6%,47.0%,59.8%,47.6%,44.8%,78.2%
ELQUI,media,Elemental,32.5%,24.6%,34.9%,35.0%,32.5%,32.8%,11.3%,32.5%,18.7%,26.4%,33.1%,41.2%,35.0%,32.5%,33.4%,31.6%,32.4%,32.4%,34.2%,32.4%,32.7%,27.4%,32.4%,33.6%,19.9%
ELQUI,media,Adecuado,20.0%,6.7%,17.0%,50.5%,20.0%,20.1%,7.5%,20.0%,3.1%,6.5%,16.8%,23.1%,50.5%,20.0%,23.0%,17.0%,19.5%,19.6%,15.8%,20.0%,20.3%,12.8%,20.0%,21.6%,1.9%
ELQUI,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
PUERTO CORDILLERA,media,Insuficiente,52.3%,55.5%,52.7%,25.2%,52.3%,52.1%,60.5%,52.3%,65.0%,54.3%,54.5%,41.5%,25.2%,52.3%,48.7%,56.0%,52.3%,52.3%,50.0%,52.3%,51.7%,63.9%,52.3%,48.5%,79.7%
PUERTO CORDILLERA,media,Elemental,33.3%,33.6%,32.3%,42.0%,33.3%,33.2%,36.8%,33.3%,30.1%,33.3%,29.9%,41.2%,42.0%,33.3%,34.0%,32.5%,33.2%,33.1%,39.5%,33.2%,33.5%,28.7%,33.2%,35.4%,17.8%
PUERTO CORDILLERA,media,Adecuado,14.5%,10.9%,15.0%,32.8%,14.5%,14.7%,2.6%,14.5%,4.9%,12.4%,15.6%,17.3%,32.8%,14.5%,17.3%,11.5%,14.5%,14.6%,10.5%,14.5%,14.8%,7.4%,14.5%,16.1%,2.5%
PUERTO CORDILLERA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LIMARÍ,media,Insuficiente,52.5%,60.5%,46.3%,25.0%,52.5%,53.1%,41.2%,52.5%,67.2%,57.7%,42.0%,24.2%,5.7%,52.5%,52.2%,52.8%,52.3%,52.2%,54.3%,52.4%,52.1%,65.3%,52.4%,49.4%,81.2%
LIMARÍ,media,Elemental,33.5%,29.9%,36.8%,37.5%,33.5%,33.2%,39.2%,33.5%,29.1%,29.0%,37.4%,47.1%,34.3%,33.5%,32.0%,34.9%,33.7%,33.6%,37.0%,33.5%,33.6%,28.6%,33.5%,35.2%,17.8%
LIMARÍ,media,Adecuado,14.0%,9.5%,16.9%,37.5%,14.0%,13.8%,19.6%,14.0%,3.6%,13.3%,20.6%,28.7%,60.0%,14.0%,15.8%,12.3%,14.0%,14.2%,8.6%,14.1%,14.3%,6.1%,14.1%,15.4%,1.0%
LIMARÍ,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHOAPA,media,Insuficiente,65.5%,78.7%,52.1%,0.0%,65.5%,65.5%,0.0%,65.5%,79.1%,76.0%,48.0%,46.0%,0.0%,65.5%,63.5%,67.5%,65.4%,65.1%,84.2%,65.5%,64.9%,81.8%,65.5%,61.1%,91.3%
CHOAPA,media,Elemental,26.9%,17.3%,36.5%,0.0%,26.9%,26.9%,0.0%,26.9%,17.2%,18.8%,41.8%,37.9%,0.0%,26.9%,26.7%,27.1%,26.9%,27.2%,10.5%,26.9%,27.3%,15.2%,26.9%,29.9%,8.7%
CHOAPA,media,Adecuado,7.7%,4.0%,11.3%,0.0%,7.7%,7.7%,0.0%,7.7%,3.8%,5.2%,10.2%,16.1%,0.0%,7.7%,9.8%,5.4%,7.7%,7.7%,5.3%,7.7%,7.8%,3.0%,7.7%,8.9%,0.0%
CHOAPA,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
VALPARAÍSO,media,Insuficiente,54.6%,67.8%,53.7%,14.5%,54.6%,54.5%,85.7%,54.6%,80.4%,61.1%,58.2%,45.1%,14.5%,54.6%,49.9%,59.9%,54.6%,54.5%,60.0%,54.6%,54.0%,71.3%,54.6%,52.9%,82.2%
VALPARAÍSO,media,Elemental,31.8%,27.6%,33.3%,37.8%,31.8%,31.9%,14.3%,31.8%,18.0%,30.7%,32.6%,37.3%,37.8%,31.8%,33.5%,29.9%,31.8%,31.7%,35.6%,31.8%,32.0%,25.3%,31.8%,32.7%,17.8%
VALPARAÍSO,media,Adecuado,13.6%,4.6%,13.0%,47.7%,13.6%,13.7%,0.0%,13.6%,1.6%,8.2%,9.2%,17.7%,47.7%,13.6%,16.6%,10.3%,13.6%,13.7%,4.4%,13.6%,14.0%,3.4%,13.6%,14.4%,0.0%
VALPARAÍSO,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
HANGA ROA,media,Insuficiente,60.6%,68.2%,48.1%,0.0%,60.6%,60.6%,0.0%,60.6%,0.0%,0.0%,68.2%,48.1%,0.0%,60.6%,63.6%,55.6%,60.6%,54.2%,63.8%,60.6%,60.9%,50.0%,60.6%,56.3%,100.0%
HANGA ROA,media,Elemental,33.8%,29.5%,40.7%,0.0%,33.8%,33.8%,0.0%,33.8%,0.0%,0.0%,29.5%,40.7%,0.0%,33.8%,31.8%,37.0%,33.8%,33.3%,34.0%,33.8%,33.3%,50.0%,33.8%,37.5%,0.0%
HANGA ROA,media,Adecuado,5.6%,2.3%,11.1%,0.0%,5.6%,5.6%,0.0%,5.6%,0.0%,0.0%,2.3%,11.1%,0.0%,5.6%,4.5%,7.4%,5.6%,12.5%,2.1%,5.6%,5.8%,0.0%,5.6%,6.3%,0.0%
HANGA ROA,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
COSTA CENTRAL,media,Insuficiente,46.0%,72.8%,51.5%,13.9%,46.0%,46.0%,0.0%,46.0%,79.7%,65.5%,58.6%,35.8%,13.2%,46.0%,41.4%,50.6%,45.9%,45.6%,71.2%,45.9%,45.0%,62.5%,45.9%,44.1%,85.6%
COSTA CENTRAL,media,Elemental,33.0%,23.1%,34.9%,35.1%,33.0%,33.0%,0.0%,33.0%,18.1%,27.9%,33.1%,40.5%,35.1%,33.0%,33.6%,32.5%,33.1%,33.2%,25.0%,33.1%,33.4%,26.9%,33.1%,33.9%,13.8%
COSTA CENTRAL,media,Adecuado,21.0%,4.1%,13.6%,50.9%,21.0%,21.0%,0.0%,21.0%,2.2%,6.7%,8.3%,23.7%,51.7%,21.0%,25.1%,16.9%,21.0%,21.2%,3.8%,21.0%,21.6%,10.6%,21.0%,21.9%,0.6%
COSTA CENTRAL,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
PETORCA,media,Insuficiente,62.8%,73.6%,45.4%,0.0%,62.8%,62.3%,73.5%,62.8%,86.5%,66.3%,60.6%,44.9%,0.0%,62.8%,61.5%,64.2%,62.8%,62.9%,50.0%,62.8%,62.3%,82.6%,62.8%,59.6%,93.7%
PETORCA,media,Elemental,28.1%,21.9%,37.9%,0.0%,28.1%,28.3%,22.4%,28.1%,11.5%,28.0%,31.8%,32.2%,0.0%,28.1%,27.7%,28.5%,28.1%,28.0%,37.5%,28.1%,28.3%,17.4%,28.1%,30.3%,6.3%
PETORCA,media,Adecuado,9.2%,4.5%,16.7%,0.0%,9.2%,9.4%,4.1%,9.2%,2.1%,5.6%,7.6%,22.9%,0.0%,9.2%,10.9%,7.3%,9.2%,9.1%,12.5%,9.2%,9.4%,0.0%,9.2%,10.1%,0.0%
PETORCA,media,Total,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS ANDES,media,Insuficiente,58.8%,75.7%,56.3%,23.4%,58.8%,58.8%,0.0%,58.8%,78.7%,70.8%,60.6%,44.9%,23.4%,58.8%,52.7%,64.6%,58.8%,58.5%,81.3%,58.8%,58.7%,61.1%,58.8%,55.7%,90.3%
LOS ANDES,media,Elemental,29.0%,21.5%,32.8%,33.1%,29.0%,29.0%,0.0%,29.0%,16.9%,27.1%,30.3%,33.8%,33.1%,29.0%,32.7%,25.4%,29.0%,29.2%,12.5%,29.0%,28.9%,29.6%,29.0%,30.9%,9.7%
LOS ANDES,media,Adecuado,12.2%,2.8%,10.9%,43.4%,12.2%,12.2%,0.0%,12.2%,4.5%,2.1%,9.1%,21.3%,43.4%,12.2%,14.6%,9.9%,12.2%,12.3%,6.3%,12.2%,12.3%,9.3%,12.2%,13.4%,0.0%
LOS ANDES,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
QUILLOTA,media,Insuficiente,49.6%,66.3%,51.5%,13.1%,49.6%,49.6%,0.0%,49.6%,90.0%,71.0%,49.9%,40.0%,13.1%,49.6%,44.7%,54.5%,49.6%,49.6%,50.0%,49.6%,48.7%,64.6%,49.6%,47.0%,87.9%
QUILLOTA,media,Elemental,32.1%,26.6%,33.1%,37.1%,32.1%,32.1%,0.0%,32.1%,10.0%,23.8%,34.8%,33.9%,37.1%,32.1%,33.7%,30.4%,32.1%,32.0%,40.0%,32.1%,32.6%,24.0%,32.1%,33.6%,10.3%
QUILLOTA,media,Adecuado,18.3%,7.1%,15.4%,49.8%,18.3%,18.3%,0.0%,18.3%,0.0%,5.2%,15.3%,26.1%,49.8%,18.3%,21.6%,15.0%,18.3%,18.4%,10.0%,18.3%,18.7%,11.5%,18.3%,19.4%,1.9%
QUILLOTA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MARGA MARGA,media,Insuficiente,52.7%,73.9%,48.3%,22.1%,52.7%,52.6%,85.7%,52.7%,81.2%,77.6%,54.7%,38.3%,22.1%,52.7%,48.0%,57.6%,52.7%,52.5%,67.2%,52.7%,52.4%,62.8%,52.7%,50.3%,87.5%
MARGA MARGA,media,Elemental,31.9%,20.3%,36.3%,31.6%,31.9%,31.9%,14.3%,31.9%,17.1%,19.3%,32.9%,40.7%,31.6%,31.9%,33.5%,30.2%,31.9%,32.0%,27.9%,31.9%,32.1%,23.9%,31.9%,33.2%,12.5%
MARGA MARGA,media,Adecuado,15.4%,5.8%,15.5%,46.3%,15.4%,15.5%,0.0%,15.4%,1.7%,3.1%,12.3%,21.0%,46.3%,15.4%,18.5%,12.2%,15.4%,15.6%,4.9%,15.4%,15.5%,13.3%,15.4%,16.5%,0.0%
MARGA MARGA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
DEL LITORAL,media,Insuficiente,59.2%,70.6%,50.2%,8.3%,59.2%,59.2%,54.5%,59.2%,80.1%,63.0%,54.7%,40.4%,8.3%,59.2%,53.0%,65.8%,59.2%,58.9%,67.9%,59.2%,58.6%,70.5%,59.2%,56.7%,91.7%
DEL LITORAL,media,Elemental,27.9%,22.9%,31.8%,50.0%,27.9%,27.9%,22.7%,27.9%,16.9%,26.7%,29.4%,39.4%,50.0%,27.9%,30.4%,25.2%,27.9%,27.9%,26.8%,27.9%,28.2%,21.9%,27.9%,29.5%,7.6%
DEL LITORAL,media,Adecuado,12.9%,6.5%,18.0%,41.7%,12.9%,12.8%,22.7%,12.9%,3.0%,10.2%,15.8%,20.2%,41.7%,12.9%,16.6%,8.9%,12.9%,13.1%,5.4%,12.9%,13.2%,7.6%,12.9%,13.9%,0.6%
DEL LITORAL,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
ACONCAGUA,media,Insuficiente,52.5%,68.7%,50.8%,8.3%,52.5%,52.5%,0.0%,52.5%,78.7%,62.9%,45.8%,22.3%,8.3%,52.5%,50.7%,54.5%,52.5%,52.4%,57.5%,52.5%,51.8%,78.6%,52.5%,48.7%,93.4%
ACONCAGUA,media,Elemental,31.8%,25.5%,34.0%,33.8%,31.8%,31.8%,0.0%,31.8%,19.1%,27.7%,38.5%,45.3%,33.8%,31.8%,31.4%,32.1%,31.8%,31.7%,35.0%,31.8%,32.2%,16.1%,31.8%,34.1%,6.6%
ACONCAGUA,media,Adecuado,15.7%,5.8%,15.2%,57.9%,15.7%,15.7%,0.0%,15.7%,2.1%,9.4%,15.7%,32.4%,57.9%,15.7%,17.8%,13.3%,15.7%,15.9%,7.5%,15.7%,16.0%,5.4%,15.7%,17.2%,0.0%
ACONCAGUA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTIAGO CENTRO,media,Insuficiente,45.7%,55.6%,44.3%,15.6%,45.7%,45.7%,0.0%,45.7%,0.0%,57.7%,50.3%,33.9%,15.6%,45.7%,42.1%,49.7%,45.5%,45.3%,51.7%,45.6%,42.9%,56.4%,45.6%,44.1%,73.5%
SANTIAGO CENTRO,media,Elemental,35.9%,32.5%,37.8%,37.5%,35.9%,35.9%,0.0%,35.9%,0.0%,33.6%,34.9%,40.6%,37.5%,35.9%,36.1%,35.8%,36.0%,36.1%,34.7%,36.0%,37.4%,30.2%,36.0%,36.6%,24.6%
SANTIAGO CENTRO,media,Adecuado,18.4%,11.9%,17.9%,46.9%,18.4%,18.4%,0.0%,18.4%,0.0%,8.7%,14.8%,25.5%,46.9%,18.4%,21.8%,14.5%,18.4%,18.6%,13.6%,18.4%,19.6%,13.4%,18.4%,19.3%,1.9%
SANTIAGO CENTRO,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
MAIPO SUR,media,Insuficiente,53.9%,73.7%,46.0%,14.1%,53.9%,53.3%,71.6%,53.9%,81.3%,70.0%,54.7%,16.4%,13.6%,53.9%,51.8%,56.1%,53.9%,53.6%,65.6%,53.9%,53.2%,74.0%,53.9%,50.9%,90.4%
MAIPO SUR,media,Elemental,28.5%,22.2%,34.9%,27.4%,28.5%,28.7%,24.3%,28.5%,17.3%,23.4%,33.7%,36.3%,27.2%,28.5%,28.5%,28.5%,28.5%,28.6%,26.6%,28.5%,28.9%,19.5%,28.5%,30.1%,9.0%
MAIPO SUR,media,Adecuado,17.5%,4.1%,19.1%,58.5%,17.5%,18.0%,4.1%,17.5%,1.5%,6.6%,11.5%,47.4%,59.2%,17.5%,19.7%,15.4%,17.6%,17.9%,7.8%,17.5%,17.9%,6.5%,17.5%,18.9%,0.6%
MAIPO SUR,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
SANTA CORINA,media,Insuficiente,46.0%,53.3%,45.5%,28.1%,46.0%,46.0%,0.0%,46.0%,70.7%,60.9%,52.7%,31.6%,21.3%,46.0%,41.0%,51.3%,46.0%,45.6%,54.2%,46.0%,44.3%,62.0%,46.0%,44.5%,78.9%
SANTA CORINA,media,Elemental,33.2%,27.9%,33.7%,41.7%,33.2%,33.2%,0.0%,33.2%,21.7%,28.2%,33.6%,35.5%,40.4%,33.2%,34.6%,31.7%,33.2%,33.2%,30.9%,33.2%,33.7%,27.9%,33.2%,33.8%,19.9%
SANTA CORINA,media,Adecuado,20.8%,18.8%,20.7%,30.1%,20.8%,20.8%,0.0%,20.8%,7.6%,10.8%,13.7%,32.8%,38.2%,20.8%,24.4%,17.0%,20.9%,21.1%,14.9%,20.9%,22.0%,10.1%,20.9%,21.8%,1.3%
SANTA CORINA,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
CHACABUCO,media,Insuficiente,43.8%,59.6%,49.0%,10.2%,43.8%,43.4%,47.3%,43.8%,76.1%,58.0%,33.8%,44.5%,10.2%,43.8%,41.2%,46.7%,43.8%,43.4%,56.9%,43.8%,41.9%,64.2%,43.8%,41.9%,88.0%
CHACABUCO,media,Elemental,28.9%,25.2%,32.8%,27.6%,28.9%,29.2%,26.2%,28.9%,21.4%,30.6%,32.0%,35.5%,27.6%,28.9%,29.5%,28.2%,28.9%,28.9%,29.4%,28.9%,29.4%,22.6%,28.9%,29.6%,10.5%
CHACABUCO,media,Adecuado,27.3%,15.2%,18.2%,62.2%,27.3%,27.4%,26.5%,27.3%,2.5%,11.4%,34.1%,20.1%,62.2%,27.3%,29.3%,25.1%,27.3%,27.7%,13.8%,27.3%,28.6%,13.1%,27.3%,28.4%,1.5%
CHACABUCO,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
LOS LIBERTADORES,media,Insuficiente,50.2%,69.4%,48.3%,14.0%,50.2%,50.2%,0.0%,50.2%,71.1%,65.9%,47.6%,34.7%,14.0%,50.2%,48.4%,52.2%,50.0%,49.6%,62.4%,50.0%,47.7%,65.2%,50.0%,47.5%,93.2%
LOS LIBERTADORES,media,Elemental,31.5%,23.9%,33.0%,37.4%,31.5%,31.5%,0.0%,31.5%,25.0%,26.5%,35.3%,32.8%,37.4%,31.5%,31.1%,32.1%,31.7%,31.8%,28.0%,31.7%,32.7%,25.0%,31.7%,33.1%,6.8%
LOS LIBERTADORES,media,Adecuado,18.2%,6.7%,18.7%,48.6%,18.2%,18.2%,0.0%,18.2%,3.9%,7.6%,17.1%,32.5%,48.6%,18.2%,20.5%,15.7%,18.3%,18.5%,9.7%,18.3%,19.6%,9.8%,18.3%,19.3%,0.0%
LOS LIBERTADORES,media,Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
